Total records: 437

--- Missing Data Statistics ---
starter_featured          : 432 missing (99%)
source                    : 396 missing (91%)
pay_range                 : 357 missing (82%)
bbb_status                : 296 missing (68%)
payment_frequency         : 265 missing (61%)
founded                   : 233 missing (53%)
rating                    : 225 missing (51%)
recruiter_contact         : 215 missing (49%)
industry_recognition      : 210 missing (48%)
qualifications            : 205 missing (47%)
equipment_provision       : 197 missing (45%)
job_volume                : 191 missing (44%)
training_provided         : 189 missing (43%)
required_technology       : 186 missing (43%)
company_size              : 185 missing (42%)
assignment_process        : 178 missing (41%)
onboarding_process        : 169 missing (39%)
logo_url                  : 161 missing (37%)
company_type              : 133 missing (30%)
equipment_requirements    : 130 missing (30%)
email                     : 120 missing (27%)
specializations           : 116 missing (27%)
social_links              : 92 missing (21%)
created_at                : 84 missing (19%)
vendor_page_url           : 71 missing (16%)
phone                     : 55 missing (13%)
address_source            : 50 missing (11%)
verified_at               : 47 missing (11%)
address                   : 46 missing (11%)
vendor_verified           : 17 missing (4%)
geographic_coverage       : 13 missing (3%)
latitude                  : 6 missing (1%)
longitude                 : 6 missing (1%)
pay_max                   : 1 missing (0%)
